Days,Value
1,0.020912398875992
5,0.02071950866554171
10,0.020689544832205625
20,0.02074509556814528
30,0.020792028931342698
40,0.020993449318617123
50,0.02102070578282158
60,0.02113727415177619
70,0.02118555411903146
80,0.021211480258532516
90,0.021303792125833654
100,0.021343875586689116
120,0.021453339000169765
150,0.02158051413756871
180,0.021270951376904032
200,0.02100118707544376
220,0.0207709576475561
250,0.020820889658872452
280,0.02092913593553363
300,0.02107324643544536
365,0.021405603695659154
400,0.02158308374008563
500,0.02185869394979316
