Days,Value
1,0.01924838290090939
5,0.019060600868911967
10,0.018996071082141984
20,0.01904044935499067
30,0.019106398069276363
40,0.019085822844565326
50,0.01901909884296683
60,0.018961559627795825
70,0.0189581202688672
80,0.018975064255284012
90,0.0189956626999742
100,0.01895576966443678
120,0.018952680336994564
150,0.019008467005449264
180,0.01899258344118828
200,0.018931712432563322
220,0.01885822265160899
250,0.01878807505400715
280,0.018667574267468803
300,0.018594790186435423
365,0.01847994712150396
400,0.018341486465328478
500,0.01805768022717235
