Days,Value
1,0.027483283764727657
5,0.027435689900991787
10,0.027401696038860068
20,0.027536316059098898
30,0.027437469992082533
40,0.027397530485328985
50,0.027542424521262085
60,0.027784071002597117
70,0.027950146400392926
80,0.02793742656121147
90,0.027813022834274677
100,0.027630481181743695
120,0.027350325797880815
150,0.027292584562534895
180,0.02712792119844519
200,0.027024597839360138
220,0.026983340655269264
250,0.026853070735349534
280,0.026630206436062225
300,0.026578949496082485
365,0.026351278394348535
400,0.026278065738873663
500,0.02602184466308807
