Days,Value
1,0.024307278645685895
5,0.024569145184057537
10,0.024837069648533844
20,0.025188503366444126
30,0.025125027266416442
40,0.02538131011060481
50,0.025496105190432515
60,0.02540459888831516
70,0.02503673025267613
80,0.02469393932477583
90,0.024378141404433826
100,0.024090117395204596
120,0.02339739795033408
150,0.022988132927496102
180,0.023162093158952513
200,0.023288832217453
220,0.023402893832135854
250,0.0236014682259412
280,0.023482927464187304
300,0.023387921604298124
365,0.023295755874721692
400,0.023721830091944767
500,0.024503380159511947
